"","Scenario","Location","Vegetation","Year","Decade","Avg"
"1","SRES B1","Alaska","Black Spruce",2009,2000,179500
"2","SRES B1","Alaska","Black Spruce",2010,2010,180411
"3","SRES B1","Alaska","Black Spruce",2011,2010,180982
"4","SRES B1","Alaska","Black Spruce",2012,2010,182063
"5","SRES B1","Alaska","Black Spruce",2013,2010,183142
"6","SRES B1","Alaska","Black Spruce",2014,2010,183986
"7","SRES B1","Alaska","Black Spruce",2015,2010,184889
"8","SRES B1","Alaska","Black Spruce",2016,2010,183161
"9","SRES B1","Alaska","Black Spruce",2017,2010,182712
"10","SRES B1","Alaska","Black Spruce",2018,2010,183743
"11","SRES B1","Alaska","Black Spruce",2019,2010,183985
"12","SRES B1","Alaska","Black Spruce",2020,2020,184020
"13","SRES B1","Alaska","Black Spruce",2021,2020,184950
"14","SRES B1","Alaska","Black Spruce",2022,2020,185534
"15","SRES B1","Alaska","Black Spruce",2023,2020,185678
"16","SRES B1","Alaska","Black Spruce",2024,2020,183633
"17","SRES B1","Alaska","Black Spruce",2025,2020,184091
"18","SRES B1","Alaska","Black Spruce",2026,2020,183689
"19","SRES B1","Alaska","Black Spruce",2027,2020,184108
"20","SRES B1","Alaska","Black Spruce",2028,2020,185078
"21","SRES B1","Alaska","Black Spruce",2029,2020,185095
"22","SRES B1","Alaska","Black Spruce",2030,2030,186293
"23","SRES B1","Alaska","Black Spruce",2031,2030,187339
"24","SRES B1","Alaska","Black Spruce",2032,2030,187766
"25","SRES B1","Alaska","Black Spruce",2033,2030,184055
"26","SRES B1","Alaska","Black Spruce",2034,2030,182717
"27","SRES B1","Alaska","Black Spruce",2035,2030,183253
"28","SRES B1","Alaska","Black Spruce",2036,2030,183965
"29","SRES B1","Alaska","Black Spruce",2037,2030,184808
"30","SRES B1","Alaska","Black Spruce",2038,2030,184640
"31","SRES B1","Alaska","Black Spruce",2039,2030,184365
"32","SRES B1","Alaska","Black Spruce",2040,2040,184618
"33","SRES B1","Alaska","Black Spruce",2041,2040,185738
"34","SRES B1","Alaska","Black Spruce",2042,2040,186652
"35","SRES B1","Alaska","Black Spruce",2043,2040,187226
"36","SRES B1","Alaska","Black Spruce",2044,2040,188170
"37","SRES B1","Alaska","Black Spruce",2045,2040,188416
"38","SRES B1","Alaska","Black Spruce",2046,2040,188879
"39","SRES B1","Alaska","Black Spruce",2047,2040,189776
"40","SRES B1","Alaska","Black Spruce",2048,2040,190141
"41","SRES B1","Alaska","Black Spruce",2049,2040,188597
"42","SRES B1","Alaska","Black Spruce",2050,2050,189603
"43","SRES B1","Alaska","Black Spruce",2051,2050,189890
"44","SRES B1","Alaska","Black Spruce",2052,2050,190569
"45","SRES B1","Alaska","Black Spruce",2053,2050,189598
"46","SRES B1","Alaska","Black Spruce",2054,2050,190132
"47","SRES B1","Alaska","Black Spruce",2055,2050,191182
"48","SRES B1","Alaska","Black Spruce",2056,2050,190091
"49","SRES B1","Alaska","Black Spruce",2057,2050,190871
"50","SRES B1","Alaska","Black Spruce",2058,2050,191681
"51","SRES B1","Alaska","Black Spruce",2059,2050,191332
"52","SRES B1","Alaska","Black Spruce",2060,2060,192282
"53","SRES B1","Alaska","Black Spruce",2061,2060,192700
"54","SRES B1","Alaska","Black Spruce",2062,2060,193974
"55","SRES B1","Alaska","Black Spruce",2063,2060,193232
"56","SRES B1","Alaska","Black Spruce",2064,2060,193980
"57","SRES B1","Alaska","Black Spruce",2065,2060,194839
"58","SRES B1","Alaska","Black Spruce",2066,2060,196159
"59","SRES B1","Alaska","Black Spruce",2067,2060,193742
"60","SRES B1","Alaska","Black Spruce",2068,2060,192522
"61","SRES B1","Alaska","Black Spruce",2069,2060,192555
"62","SRES B1","Alaska","Black Spruce",2070,2070,193963
"63","SRES B1","Alaska","Black Spruce",2071,2070,193459
"64","SRES B1","Alaska","Black Spruce",2072,2070,192908
"65","SRES B1","Alaska","Black Spruce",2073,2070,192977
"66","SRES B1","Alaska","Black Spruce",2074,2070,188439
"67","SRES B1","Alaska","Black Spruce",2075,2070,188328
"68","SRES B1","Alaska","Black Spruce",2076,2070,187305
"69","SRES B1","Alaska","Black Spruce",2077,2070,184825
"70","SRES B1","Alaska","Black Spruce",2078,2070,183752
"71","SRES B1","Alaska","Black Spruce",2079,2070,185169
"72","SRES B1","Alaska","Black Spruce",2080,2080,186489
"73","SRES B1","Alaska","Black Spruce",2081,2080,186793
"74","SRES B1","Alaska","Black Spruce",2082,2080,187463
"75","SRES B1","Alaska","Black Spruce",2083,2080,188262
"76","SRES B1","Alaska","Black Spruce",2084,2080,187735
"77","SRES B1","Alaska","Black Spruce",2085,2080,188830
"78","SRES B1","Alaska","Black Spruce",2086,2080,187193
"79","SRES B1","Alaska","Black Spruce",2087,2080,187235
"80","SRES B1","Alaska","Black Spruce",2088,2080,188081
"81","SRES B1","Alaska","Black Spruce",2089,2080,185468
"82","SRES B1","Alaska","Black Spruce",2090,2090,186337
"83","SRES B1","Alaska","Black Spruce",2091,2090,187262
"84","SRES B1","Alaska","Black Spruce",2092,2090,187726
"85","SRES B1","Alaska","Black Spruce",2093,2090,185568
"86","SRES B1","Alaska","Black Spruce",2094,2090,184364
"87","SRES B1","Alaska","Black Spruce",2095,2090,185468
"88","SRES B1","Alaska","Black Spruce",2096,2090,185533
"89","SRES B1","Alaska","Black Spruce",2097,2090,183633
"90","SRES B1","Alaska","Black Spruce",2098,2090,184862
"91","SRES B1","Alaska","Black Spruce",2099,2090,183147
"92","SRES B1","Alaska","Black Spruce",2100,2100,182420
"93","SRES B1","Alaska","Deciduous",2009,2000,303726
"94","SRES B1","Alaska","Deciduous",2010,2010,302108
