"","Scenario","Location","Vegetation","Year","Decade","Avg"
"1","SRES B1","Alaska","Black Spruce",2009,2000,179631
"2","SRES B1","Alaska","Black Spruce",2010,2010,180712
"3","SRES B1","Alaska","Black Spruce",2011,2010,179810
"4","SRES B1","Alaska","Black Spruce",2012,2010,174061
"5","SRES B1","Alaska","Black Spruce",2013,2010,173606
"6","SRES B1","Alaska","Black Spruce",2014,2010,174612
"7","SRES B1","Alaska","Black Spruce",2015,2010,174837
"8","SRES B1","Alaska","Black Spruce",2016,2010,173136
"9","SRES B1","Alaska","Black Spruce",2017,2010,174164
"10","SRES B1","Alaska","Black Spruce",2018,2010,175535
"11","SRES B1","Alaska","Black Spruce",2019,2010,176520
"12","SRES B1","Alaska","Black Spruce",2020,2020,171877
"13","SRES B1","Alaska","Black Spruce",2021,2020,173086
"14","SRES B1","Alaska","Black Spruce",2022,2020,174279
"15","SRES B1","Alaska","Black Spruce",2023,2020,174551
"16","SRES B1","Alaska","Black Spruce",2024,2020,172429
"17","SRES B1","Alaska","Black Spruce",2025,2020,154942
"18","SRES B1","Alaska","Black Spruce",2026,2020,155596
"19","SRES B1","Alaska","Black Spruce",2027,2020,156790
"20","SRES B1","Alaska","Black Spruce",2028,2020,155986
"21","SRES B1","Alaska","Black Spruce",2029,2020,156753
"22","SRES B1","Alaska","Black Spruce",2030,2030,157724
"23","SRES B1","Alaska","Black Spruce",2031,2030,158941
"24","SRES B1","Alaska","Black Spruce",2032,2030,154989
"25","SRES B1","Alaska","Black Spruce",2033,2030,156082
"26","SRES B1","Alaska","Black Spruce",2034,2030,157312
"27","SRES B1","Alaska","Black Spruce",2035,2030,153441
"28","SRES B1","Alaska","Black Spruce",2036,2030,152009
"29","SRES B1","Alaska","Black Spruce",2037,2030,152702
"30","SRES B1","Alaska","Black Spruce",2038,2030,153052
"31","SRES B1","Alaska","Black Spruce",2039,2030,154232
"32","SRES B1","Alaska","Black Spruce",2040,2040,153942
"33","SRES B1","Alaska","Black Spruce",2041,2040,154166
"34","SRES B1","Alaska","Black Spruce",2042,2040,155186
"35","SRES B1","Alaska","Black Spruce",2043,2040,155619
"36","SRES B1","Alaska","Black Spruce",2044,2040,155592
"37","SRES B1","Alaska","Black Spruce",2045,2040,150565
"38","SRES B1","Alaska","Black Spruce",2046,2040,148609
"39","SRES B1","Alaska","Black Spruce",2047,2040,149895
"40","SRES B1","Alaska","Black Spruce",2048,2040,150799
"41","SRES B1","Alaska","Black Spruce",2049,2040,142453
"42","SRES B1","Alaska","Black Spruce",2050,2050,142073
"43","SRES B1","Alaska","Black Spruce",2051,2050,142782
"44","SRES B1","Alaska","Black Spruce",2052,2050,143659
"45","SRES B1","Alaska","Black Spruce",2053,2050,145010
"46","SRES B1","Alaska","Black Spruce",2054,2050,146060
"47","SRES B1","Alaska","Black Spruce",2055,2050,147472
"48","SRES B1","Alaska","Black Spruce",2056,2050,148974
"49","SRES B1","Alaska","Black Spruce",2057,2050,149700
"50","SRES B1","Alaska","Black Spruce",2058,2050,150686
"51","SRES B1","Alaska","Black Spruce",2059,2050,150975
"52","SRES B1","Alaska","Black Spruce",2060,2060,149715
"53","SRES B1","Alaska","Black Spruce",2061,2060,150771
"54","SRES B1","Alaska","Black Spruce",2062,2060,150151
"55","SRES B1","Alaska","Black Spruce",2063,2060,150815
"56","SRES B1","Alaska","Black Spruce",2064,2060,149957
"57","SRES B1","Alaska","Black Spruce",2065,2060,149910
"58","SRES B1","Alaska","Black Spruce",2066,2060,151485
"59","SRES B1","Alaska","Black Spruce",2067,2060,152453
"60","SRES B1","Alaska","Black Spruce",2068,2060,153996
"61","SRES B1","Alaska","Black Spruce",2069,2060,154450
"62","SRES B1","Alaska","Black Spruce",2070,2070,150771
"63","SRES B1","Alaska","Black Spruce",2071,2070,152099
"64","SRES B1","Alaska","Black Spruce",2072,2070,150114
"65","SRES B1","Alaska","Black Spruce",2073,2070,150579
"66","SRES B1","Alaska","Black Spruce",2074,2070,145821
"67","SRES B1","Alaska","Black Spruce",2075,2070,146375
"68","SRES B1","Alaska","Black Spruce",2076,2070,145265
"69","SRES B1","Alaska","Black Spruce",2077,2070,144888
"70","SRES B1","Alaska","Black Spruce",2078,2070,145192
"71","SRES B1","Alaska","Black Spruce",2079,2070,146395
"72","SRES B1","Alaska","Black Spruce",2080,2080,142121
"73","SRES B1","Alaska","Black Spruce",2081,2080,138579
"74","SRES B1","Alaska","Black Spruce",2082,2080,140281
"75","SRES B1","Alaska","Black Spruce",2083,2080,140156
"76","SRES B1","Alaska","Black Spruce",2084,2080,140304
"77","SRES B1","Alaska","Black Spruce",2085,2080,140981
"78","SRES B1","Alaska","Black Spruce",2086,2080,138212
"79","SRES B1","Alaska","Black Spruce",2087,2080,139113
